,e25c6b40324643c3afc1cf42981b11b5_mae_min,e25c6b40324643c3afc1cf42981b11b5_mae_mean,e25c6b40324643c3afc1cf42981b11b5_mae_max,e1d15a0615ca489aa6a17ec60247d0af_mae_min,e1d15a0615ca489aa6a17ec60247d0af_mae_mean,e1d15a0615ca489aa6a17ec60247d0af_mae_max,3f48868c52404eb0a833897aa4642871_mae_min,3f48868c52404eb0a833897aa4642871_mae_mean,3f48868c52404eb0a833897aa4642871_mae_max,1824682ae27c48669665cf042052d584_mae_min,1824682ae27c48669665cf042052d584_mae_mean,1824682ae27c48669665cf042052d584_mae_max,feda42500d2b45549be96f1bf62b0b03_mae_min,feda42500d2b45549be96f1bf62b0b03_mae_mean,feda42500d2b45549be96f1bf62b0b03_mae_max,e25c6b40324643c3afc1cf42981b11b5_mse_min,e25c6b40324643c3afc1cf42981b11b5_mse_mean,e25c6b40324643c3afc1cf42981b11b5_mse_max,e1d15a0615ca489aa6a17ec60247d0af_mse_min,e1d15a0615ca489aa6a17ec60247d0af_mse_mean,e1d15a0615ca489aa6a17ec60247d0af_mse_max,3f48868c52404eb0a833897aa4642871_mse_min,3f48868c52404eb0a833897aa4642871_mse_mean,3f48868c52404eb0a833897aa4642871_mse_max,1824682ae27c48669665cf042052d584_mse_min,1824682ae27c48669665cf042052d584_mse_mean,1824682ae27c48669665cf042052d584_mse_max,feda42500d2b45549be96f1bf62b0b03_mse_min,feda42500d2b45549be96f1bf62b0b03_mse_mean,feda42500d2b45549be96f1bf62b0b03_mse_max,e25c6b40324643c3afc1cf42981b11b5_msssim_min,e25c6b40324643c3afc1cf42981b11b5_msssim_mean,e25c6b40324643c3afc1cf42981b11b5_msssim_max,e1d15a0615ca489aa6a17ec60247d0af_msssim_min,e1d15a0615ca489aa6a17ec60247d0af_msssim_mean,e1d15a0615ca489aa6a17ec60247d0af_msssim_max,3f48868c52404eb0a833897aa4642871_msssim_min,3f48868c52404eb0a833897aa4642871_msssim_mean,3f48868c52404eb0a833897aa4642871_msssim_max,1824682ae27c48669665cf042052d584_msssim_min,1824682ae27c48669665cf042052d584_msssim_mean,1824682ae27c48669665cf042052d584_msssim_max,feda42500d2b45549be96f1bf62b0b03_msssim_min,feda42500d2b45549be96f1bf62b0b03_msssim_mean,feda42500d2b45549be96f1bf62b0b03_msssim_max,e25c6b40324643c3afc1cf42981b11b5_wasserstein_min,e25c6b40324643c3afc1cf42981b11b5_wasserstein_mean,e25c6b40324643c3afc1cf42981b11b5_wasserstein_max,e1d15a0615ca489aa6a17ec60247d0af_wasserstein_min,e1d15a0615ca489aa6a17ec60247d0af_wasserstein_mean,e1d15a0615ca489aa6a17ec60247d0af_wasserstein_max,3f48868c52404eb0a833897aa4642871_wasserstein_min,3f48868c52404eb0a833897aa4642871_wasserstein_mean,3f48868c52404eb0a833897aa4642871_wasserstein_max,1824682ae27c48669665cf042052d584_wasserstein_min,1824682ae27c48669665cf042052d584_wasserstein_mean,1824682ae27c48669665cf042052d584_wasserstein_max,feda42500d2b45549be96f1bf62b0b03_wasserstein_min,feda42500d2b45549be96f1bf62b0b03_wasserstein_mean,feda42500d2b45549be96f1bf62b0b03_wasserstein_max
0,1.4245638847351074,1.4570137485861778,1.4916294813156128,2.388277530670166,2.4306583404541016,2.51155161857605,2.143803119659424,2.1873460859060287,2.261202573776245,1.8371611833572388,1.8650673925876617,1.907965064048767,2.693664789199829,2.734480768442154,2.7938694953918457,3.9003238677978516,4.070985049009323,4.299020767211914,10.674971580505371,11.05996435880661,11.872543334960938,8.245949745178223,8.639922678470612,9.289299011230469,6.312600612640381,6.432825595140457,6.788853645324707,13.164504051208496,13.45072615146637,14.092159271240234,0.8120237588882446,0.8339831158518791,0.8555873036384583,0.7511011362075806,0.7669243440032005,0.7845472097396851,0.728622317314148,0.7490940392017365,0.7765763401985168,0.7626091837882996,0.7870936430990696,0.8013113737106323,0.6302124857902527,0.6534293442964554,0.6693039536476135,2.6769936e-05,3.2263575e-05,3.7979335e-05,75.196785,76.562996,77.758286,59.169807,60.58863,62.030945,42.252853,43.011635,44.17138,798.0037,818.414,846.18445
1,1.3496606349945068,1.3834858760237694,1.4129998683929443,1.6738309860229492,1.7014516443014145,1.7288098335266113,1.6978669166564941,1.719753459095955,1.755643367767334,1.586496353149414,1.612834557890892,1.6443289518356323,2.611285924911499,2.657730296254158,2.7192835807800293,3.533039093017578,3.7208151668310165,3.908365249633789,5.207413196563721,5.34344807267189,5.569817066192627,5.328040599822998,5.4474689066410065,5.7202301025390625,4.7675065994262695,4.904369682073593,5.146488666534424,11.375350952148438,11.798357546329498,12.502416610717773,0.8233795166015625,0.8464067950844765,0.8627730011940002,0.7628971934318542,0.7993694879114628,0.8238214254379272,0.7866168022155762,0.8129979148507118,0.8302921056747437,0.7956997752189636,0.8259142450988293,0.8386303782463074,0.7000430822372437,0.7187384739518166,0.7385696172714233,2.7168542e-05,3.096182e-05,3.4298748e-05,78.902695,81.20669,82.94093,69.75517,71.228615,72.646065,49.63707,50.601334,51.785007,787.1903,808.78516,829.3179
2,1.3094807863235474,1.3418817669153214,1.3694415092468262,1.5758169889450073,1.6045390516519547,1.6303682327270508,1.5949093103408813,1.6168889254331589,1.6464309692382812,1.5252256393432617,1.5547118559479713,1.5932869911193848,1.929486632347107,1.9539232924580574,1.9949461221694946,3.362949848175049,3.541523665189743,3.719895362854004,4.616985321044922,4.767702430486679,4.967531204223633,4.734036445617676,4.86890321969986,5.0886616706848145,4.4219160079956055,4.572308391332626,4.831579685211182,6.816783905029297,6.936968386173248,7.334198951721191,0.8233378529548645,0.846511647105217,0.8614981770515442,0.7849984169006348,0.8134432211518288,0.8341912031173706,0.7974975109100342,0.8242670521140099,0.8448358178138733,0.8058260083198547,0.8348162472248077,0.84884113073349,0.7601935863494873,0.774688545614481,0.7864804863929749,1.8443912e-05,2.2187596e-05,2.503395e-05,87.80334,89.75196,91.162674,78.23155,79.8653,81.35918,54.7368,55.772186,57.031174,117.66594,121.65438,126.92592
3,1.3086336851119995,1.3385458961129189,1.3668510913848877,1.5468807220458984,1.5784418135881424,1.6080788373947144,1.5308634042739868,1.5563876554369926,1.5903613567352295,1.5186814069747925,1.5422842726111412,1.570942759513855,1.673109531402588,1.7024380192160606,1.72035551071167,3.3561038970947266,3.5206761211156845,3.7019269466400146,4.457120895385742,4.642277747392654,4.847950458526611,4.398366451263428,4.537708669900894,4.772119045257568,4.338228702545166,4.490420639514923,4.699819564819336,5.129286766052246,5.2978260815143585,5.463252067565918,0.8261711597442627,0.849251464009285,0.8631181716918945,0.7869604825973511,0.8217702209949493,0.8412358164787292,0.8022010922431946,0.8267591744661331,0.8468925356864929,0.8142991662025452,0.8430307954549789,0.859489917755127,0.7753437161445618,0.8050267696380615,0.8231258988380432,3.2037497e-05,3.599748e-05,3.9409846e-05,77.9204,79.25188,80.43849,74.813576,76.34326,77.75206,53.557022,54.32648,55.44129,86.54248,88.0446,90.891624
4,1.283161997795105,1.3130571767687798,1.341233491897583,1.5208122730255127,1.5498797446489334,1.5816500186920166,1.5031018257141113,1.5316796600818634,1.5634256601333618,1.492631435394287,1.5213265120983124,1.5480728149414062,1.5940043926239014,1.6295395568013191,1.6522655487060547,3.2480781078338623,3.416902005672455,3.5971155166625977,4.313167095184326,4.479594260454178,4.695465564727783,4.261202335357666,4.41097366809845,4.624795913696289,4.216799736022949,4.361240327358246,4.5578460693359375,4.698024272918701,4.8912747502326965,5.0657854080200195,0.8256591558456421,0.8480184376239777,0.8627332448959351,0.7920808792114258,0.8186167068779469,0.8446410298347473,0.8072128295898438,0.8336547650396824,0.8524219989776611,0.8193509578704834,0.8398004621267319,0.8553599119186401,0.771894097328186,0.808332834392786,0.8217682838439941,2.8811395e-05,3.2803044e-05,3.5811216e-05,78.33683,79.71924,80.90759,70.33277,71.4646,72.74802,51.022575,51.853115,52.85385,88.27344,92.66388,96.089905
5,1.2766541242599487,1.309471920132637,1.3378725051879883,1.4813612699508667,1.5099837109446526,1.5396455526351929,1.4709726572036743,1.4995622783899307,1.5287964344024658,1.4498919248580933,1.479210004210472,1.5054734945297241,1.5800553560256958,1.6092838272452354,1.630708932876587,3.220006227493286,3.403269961476326,3.5788767337799072,4.125296592712402,4.2816057205200195,4.48840856552124,4.075606822967529,4.250692129135132,4.452460765838623,4.008914470672607,4.169429272413254,4.360815048217773,4.609864711761475,4.765462785959244,4.93450927734375,0.8245856761932373,0.8499723449349403,0.8645945191383362,0.8047025203704834,0.8279198296368122,0.8484669923782349,0.8089476227760315,0.835416354238987,0.852229118347168,0.8201228976249695,0.8440134562551975,0.8638752102851868,0.7911482453346252,0.8161344043910503,0.8292677998542786,2.0358711e-05,2.4254667e-05,2.7760863e-05,81.34215,82.77299,84.02627,68.68513,69.83744,71.183426,52.076633,52.8984,53.98525,92.405914,95.54544,97.599655
6,1.256793737411499,1.2885853126645088,1.3166221380233765,1.473054051399231,1.5010170340538025,1.5284218788146973,1.465051293373108,1.4950661063194275,1.5235949754714966,1.4267165660858154,1.4599417075514793,1.4879635572433472,1.5517624616622925,1.5750141590833664,1.6023917198181152,3.1571030616760254,3.327997788786888,3.499861240386963,4.081094264984131,4.235192120075226,4.433333396911621,4.051643371582031,4.227017939090729,4.4221391677856445,3.887059450149536,4.06807553768158,4.261358737945557,4.496509552001953,4.625096470117569,4.822585582733154,0.8269748091697693,0.8518407270312309,0.8667341470718384,0.8049066066741943,0.8290616758167744,0.8523467779159546,0.810188889503479,0.83522829413414,0.8525556325912476,0.818842351436615,0.8452170006930828,0.862739086151123,0.7961162328720093,0.8226537220180035,0.8367302417755127,2.482161e-05,2.8308714e-05,3.1538308e-05,77.13074,78.22372,79.21454,69.15842,70.184395,71.324066,53.030777,53.93712,55.093567,85.882904,87.33202,89.52255
7,1.2562214136123657,1.2857975289225578,1.3144936561584473,1.4754929542541504,1.5022233426570892,1.529641032218933,1.4478261470794678,1.4791279807686806,1.5059714317321777,1.4158539772033691,1.4481119737029076,1.4742176532745361,1.478435754776001,1.5141757354140282,1.5423071384429932,3.160503387451172,3.3198212534189224,3.4989688396453857,4.110618591308594,4.2505006194114685,4.451369762420654,3.959439992904663,4.140975639224052,4.327208995819092,3.8357067108154297,4.019654333591461,4.202934265136719,4.114744186401367,4.318455338478088,4.505063533782959,0.8307519555091858,0.8568461500108242,0.8723737597465515,0.8078492879867554,0.8323398269712925,0.8533287644386292,0.8122822046279907,0.8346982300281525,0.8486623167991638,0.8215773701667786,0.8459215275943279,0.8639158606529236,0.7990685105323792,0.82679508253932,0.846975564956665,2.0258129e-05,2.3474218e-05,2.6598573e-05,89.136826,90.76691,92.28057,68.455,69.59735,70.81004,50.34947,51.159977,52.21349,102.942184,107.73215,110.90518
8,1.2497303485870361,1.2795146703720093,1.3083608150482178,1.451860785484314,1.482563853263855,1.5111172199249268,1.4387304782867432,1.469980038702488,1.4971740245819092,1.3974696397781372,1.4296208545565605,1.4578075408935547,1.4624524116516113,1.488363817334175,1.5165538787841797,3.114180326461792,3.2821779400110245,3.4618124961853027,3.979649782180786,4.157584920525551,4.358909606933594,3.915128231048584,4.089386403560638,4.278153419494629,3.7493655681610107,3.934202343225479,4.125761032104492,4.032235145568848,4.186556279659271,4.378080368041992,0.8284440040588379,0.856232687830925,0.8723231554031372,0.8094704747200012,0.8355823084712029,0.8604836463928223,0.8194481730461121,0.8375065438449383,0.8481570482254028,0.8221906423568726,0.8451422564685345,0.8652477264404297,0.7915955781936646,0.823046937584877,0.8419098258018494,3.241375e-05,3.6204e-05,3.9190054e-05,82.57281,83.939354,85.18411,69.32266,70.51294,71.74816,49.592422,50.41137,51.49571,105.894806,108.25997,111.12752
9,1.2476140260696411,1.2753185704350471,1.3049132823944092,1.4532133340835571,1.4847131595015526,1.5123268365859985,1.4324662685394287,1.4623791724443436,1.490182876586914,1.3984636068344116,1.4293668568134308,1.4599498510360718,1.457168459892273,1.4821148291230202,1.5127062797546387,3.109696388244629,3.269645005464554,3.4493794441223145,3.972459316253662,4.15852364897728,4.356709957122803,3.88748836517334,4.062811329960823,4.252696990966797,3.73258376121521,3.9139212518930435,4.115438461303711,4.01332950592041,4.1771814823150635,4.381130218505859,0.824263870716095,0.8533207327127457,0.8685837388038635,0.8084532022476196,0.8386256024241447,0.8623178601264954,0.819778561592102,0.8410429172217846,0.8538939356803894,0.8294835090637207,0.850752379745245,0.8698505163192749,0.7939589023590088,0.8234785534441471,0.8419087529182434,2.6483089e-05,3.018789e-05,3.3881515e-05,82.53548,84.13403,85.47255,63.935513,64.993164,65.99438,50.64923,51.46836,52.538857,98.101166,100.71201,103.269455
